"BehaviorSpace results (NetLogo 6.2.2)"
"./baby_2.nlogo"
"experiment_test"
"03/06/2022 23:38:09:635 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","ticks_stop","enable_conflict","A_number_citizens","conflict_count_per_cycle","enable_reproduce","A_tough_loose","b","B_tough_loose","B_number_citizens","[step]","count A_citizens","count B_citizens"
"8","300","true","150","4","true","0.5","0.23","0.3","250","0","150","250"
"6","300","true","150","4","true","0.3","0.23","0.3","250","0","150","250"
"3","300","true","150","2","true","0.5","0.23","0.3","150","0","150","150"
"7","300","true","150","4","true","0.5","0.23","0.3","150","0","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","0","150","150"
"5","300","true","150","4","true","0.3","0.23","0.3","150","0","150","150"
"2","300","true","150","2","true","0.3","0.23","0.3","250","0","150","250"
"4","300","true","150","2","true","0.5","0.23","0.3","250","0","150","250"
"7","300","true","150","4","true","0.5","0.23","0.3","150","1","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","1","150","150"
"5","300","true","150","4","true","0.3","0.23","0.3","150","1","150","150"
"3","300","true","150","2","true","0.5","0.23","0.3","150","1","150","150"
"4","300","true","150","2","true","0.5","0.23","0.3","250","1","150","250"
"2","300","true","150","2","true","0.3","0.23","0.3","250","1","150","250"
"8","300","true","150","4","true","0.5","0.23","0.3","250","1","150","250"
"6","300","true","150","4","true","0.3","0.23","0.3","250","1","112","237"
"3","300","true","150","2","true","0.5","0.23","0.3","150","2","150","150"
"7","300","true","150","4","true","0.5","0.23","0.3","150","2","150","150"
"5","300","true","150","4","true","0.3","0.23","0.3","150","2","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","2","150","150"
"6","300","true","150","4","true","0.3","0.23","0.3","250","2","112","237"
"7","300","true","150","4","true","0.5","0.23","0.3","150","3","150","150"
"8","300","true","150","4","true","0.5","0.23","0.3","250","2","150","250"
"2","300","true","150","2","true","0.3","0.23","0.3","250","2","150","250"
"1","300","true","150","2","true","0.3","0.23","0.3","150","3","150","150"
"3","300","true","150","2","true","0.5","0.23","0.3","150","3","150","150"
"4","300","true","150","2","true","0.5","0.23","0.3","250","2","112","237"
"6","300","true","150","4","true","0.3","0.23","0.3","250","3","112","237"
"5","300","true","150","4","true","0.3","0.23","0.3","150","3","135","82"
"3","300","true","150","2","true","0.5","0.23","0.3","150","4","150","150"
"1","300","true","150","2","true","0.3","0.23","0.3","150","4","150","150"
"7","300","true","150","4","true","0.5","0.23","0.3","150","4","150","150"
